go_form,go_meaning,go_source,so_form,so_meaning,so_source,re_form,re_meaning,re_source,gu_form,gu_meaning,gu_source,kh_form,kh_meaning,kh_source,ju_form,ju_meaning,ju_source,gt_form,gt_meaning,gt_source,sa_form,sa_meaning,sa_source,mu_form,mu_meaning,mu_source,ho_form,ho_meaning,ho_source,kw_form,kw_meaning,kw_source,ko_form,ko_meaning,ko_source,pmunda,gloss,ID,pinnow,mkcd_no,mkcd_form,mkcd_meaning,mkcd_attested,pP_sid_2015_no,pP_sid2015_form,pP_sid2015_meaning,pWBah_SidJ2003_no,pWBah_SidJ2003_form,pWBah_SidJ2003_meaning,pSBah_Sid2000_no,pSBah_Sid2000_form,pSBah_Sid2000_meaning,pKat_sid2005_no,pKat_sid2005_form,pKat_sid2005_meaning,pM_Zide_ref,pM_Zide_form,pM_Zide_meaning,comment,swadesh_1971
alu'b,,FR,əle:b,,RSED.p7,sulup,,BDBH.2688,sulub,,GGEG.p116,selhob,,PKED.p180,silib,,PJDW.p278,sloʔ,,PGEG.p43,selep',,CSED.p571,silib,,BMED.p173,silib,,DHED.p317,seleb,,DSKW@21960,—,,—,*sv₆l₁₂ˀp,gazelle,#A0084,V233,—,—,—,—,,,,,,,,,,,,,,,,,
pa'd,,FR,pad,,RSED.p200,poʔ,,BDBH.1793,poɖ,,DSGU#18931,paro(m),,PKED.p155,(pakea),,DSJU#25131,pwaʔ,,PGEG.p39,par,,CSED.p474,pa:rom,,BMED.p144,parom,,DHED.p262,parom,,BAHL.p97,pa:r,,NKEV.p331,*pəˀt,cross (v),#A0085,,—,—,—,—,,,,,,,,,,,,,,,,"While the reflexes in Gorum, Sora, Remo, Gutob, and Gtaʔ are consistent with a reconstruction of proto-Munda _*pəˀt_. The attested vowels are consistent with the correspondence sets _*ə_ v2 and _*ə_ v3. The onset and final consonants of these forms are also consistent. So that for these forms proto-Munda _*pəˀt_ can be posited, confidently. If the North Munda and Kharia forms _pa(:)r(om)_ are added, the reflexes do not fit any known vowel set and the final rhotics are also inconsistent with any regular reflexes. This suggests that we have to assume a second etymon _*par(om)_ ‘cross (v)’, probably of Indo-Aryan origin.",
tin,,FR,—,—,—,—,—,—,ten,,Z1965.402,ten,,PKED.p199,—,—,—,(ʈe),,PGEG.p46,ten,,CSED.p624,ʈhen,,BMED.p185,ten,,DHED.p347,ten,,DSKW@1275,ten,,DSKO#26831,*ten,trample (v),#A0086,K306,1153a,*t₁een ,to tread,Katuic; Khmuic,,,,,,,,,,,,,,,,Gtaʔ _ʈe_ is problematic. The retroflex /ʈ/ is unexplained and the vowel /e/ is not expected in Gtaʔ in _*e₃_ reflex sets. ,
san,,FR,san,,RSED.p248,sensen,,BDBH.2714,—,—,—,san,,PKED.p176,(saŋgem),,PJDW.p273,—,,—,sen,,CSED.p572,sen,,BMED.p172,sen,,DHED.p311,sen,,BAHL.p138,sen(e),,NKEV.p337,*sv₃₀n,chase (v),#A0087,V300,899,*təɲ,to chase,Khmer; South Bahnaric,,,,,,,,,,,,,,,,,
—,,—,ɲam,,RSED.p186,—,—,—,—,—,—,ɲam,,PKED.p140,—,—,—,—,,—,ɲam,,CSED.p434,na:m,,BMED.p126,nam,,DHED.p241,ɲa:m,,BAHL.p66,na,,NKEV.p327,*ɲam,get (v),#A0088,,1243,*cap; *caap; *ciəp; *cip; *cup,to seize,Khmer; South Bahnaric; Central Aslian / Katuic; Nicobaric / North Bahnaric; North & Central Aslian / Khmer; Khmuic / Bahnaric,,,,,,,,,,,,,,,,,
gur,,FR,gur,,RSED.p92,gur,,BDBH.914,gir,,Z1965.132,gur,,PKED.p68,gur,,PJDW.p200,gur,,PGEG.p21,gur,,CSED.p207,gur,,EMV5.p1535,gur,,DHED.p122,—,,—,guru,,DSKO#10541,*gur,fall/rain (v),#A0089,V106,1579,*guur,to fall; be shed,Mon; Palaungic; ?North Aslian,,,,,,,,,,,,,,,,,
—,—,—,—,—,—,uʔ,,BDBH.181,iɖ,,AG08.p664,uˀd,,PKED.p205,ur/uɖ,,PJDW.p292,ug,,PGEG.p6,ut',,CSED.p674,ud',,BMED.p191,uɖ,,DHED.p369,u:ɖ,,BAHL.p18,u:ʈ,,NKEV.p346,*uˀt,drink/swallow (v),#A0090,V142,1106,*hut; *huut; *huət; *huc; *huuc; *huəc,to suck; drink,Khmer; ?South Bahnaric; North & Central Aslian; Nicobaric / Khmuic; Palaungic; Viet-Muong / Khmer; South Bahnaric; Palaungic; Nicobaric / South Bahnaric; Central Aslian / Katuic; Bahnaric / North Bahnaric,,,,,,,,,,,,,,,,,
ḭj / iˀɟ,,FR,gad-iɟ,,RSED.p94,ik',,BDBH.88,ig,,AG08.p652,iˀj,,DSKH#12711,ij,,DSJU#13371,æg,,PGEG.p4,ic',,CSED.p244,ij',,BMED.p75,iiʔ,,DHED.p150,i:q,,BAHL.p16,ich,,NKEV.p310,*iˀc,defecate (v),#A0091,V81,794,*ʔic; *ʔiə[c]; *ʔ[ə]c,excrement; faeces,Mon; North Bahnaric; Aslian / South Bahnaric; Khmuic / Khmer; South Bahnaric; Khasi; Nicobaric,,,,,,,,,,,,,,,,,
baˀd,,FR,bad,,RSED.p47,boʔ,,BDBH.2027,bod,,Z1965.59,—,—,—,—,—,—,boaʔ,,PGEG.p11,be̠t',,BSDV1.p275,bed',,BMED.p21,beɖ,,DHED.p33,—,,—,—,,—,*bəˀt,contain/block (v),#A0092,—,1178,*ɓun; *ɓuun; *ɓə[ə]n; *ɓut ,to heap up,South Bahnaric; ?Mon / Khmer; Katuic; North Bahnaric; Palaungic; Khasi / Palaungic / South Bahnaric,,,,,,,,,,,,,,,,,
laʔ,,FR,—,—,—,—,—,—,lag,,Z1965.205,laʔ,,PKED.p118,lag,,PJDW.p235,liaʔ,,PGEG.p31,lak',,CSED.p359,—,,—,laʔ,,DHED.p203,—,,—,laʔ,,DSKO.17551,*laˀk,scrape (v),#A0093,—,418,*l[a]k,to hoe,North Bahnaric; Palaungic,,,,,,,,,,,,,,,,,
(ra'd),,FR,(rad),,RSED.p226,riʔ,,BDBH.2276,roj,,DSGU#2071,roˀj,,PKED.p170,roɟ,,PJDW.p268,rweʔ,,PGEG.p41,roco,,BSDV5.p98,roeʔ,,EMV12.p3628,ro:eʔ,,DHED.p290,roej,,DSKW@19520,ro(:)c,,NKEV.p335,*roˀc,squeeze/milk (v),#A0094,V381,1061,*ruut; *ruət; *rət; *rat; *rit; *riit; *riət,"to tighten, constrict",,,,,,,,,,,,,,,,,"Gorum /raˀd/ and Sora /rad/ fit better to the forms given in MKCD (in particular _*ruət_, _*rət_, and _*rat_), but these two reflexes are clearly distinct form the remaining words clearly reflecting proto-Munda _*roˀc_.",
—,—,—,kənɟɪ:ŋ,,RSED.p131,gisiŋreʔe,,BDBH.858,—,—,—,jiŋray,,PKED.p86,ɟiŋɛ,,PJDW.p212,gcæiŋ,,PGEG.p22,jhĩk,,CSED.p268,jiki,,BMED.p82,jiki,,DHED.p165,ji:k,,DSKW@09500,jikɽa,,NKEV.p313,*ɟiŋ(k),porcupine,#A0095,V318,528,*cu[ə]ŋ; *cəŋ; *ciəŋ / ,kind of small mammal / ,Khasi / Katuic; South Bahnaric / Khasi,,,,,,,,,,,,,,,,"Looks like a combination of MKCD 528 and 1883 _*[r]kus_; _*[r]kuus_; _*[r]kuəs_; _*[r]k[iə]s_, e.g. _*ciəŋ+[r]kuəs_.",
gaˀɟ,to fry,FR,gaɟ,,RSED.p95,gaĭ,,BDBH.766,gaj,,Z1965.120,gaˀj,,PKED.p165,gaj,,DSJU#10461,gæʔ,,PGEG.p19,ge̠c',,CSED.p184,geʔ,,EMV5.p1411,—,,—,—,,—,—,,—,*gaˀc,fry/scrape (v),#A0096,V15,—,—,—,—,,,,,,,,,,,,,,,,"338a *[c]ɗaak; *[c]ɗaik to fry. (Katuic, Palaungic, Khasi, ?Nicobaric) is probably not related.",
per,,FR,—,—,—,per,,BDBH.1756,per,,Z1975.294,—,—,—,—,—,—,pir,,PGEG.p38,pe̠ṛen,,CSED.p500,—,,—,(pertol),,DHED.p266,—,,—,—,,—,*per,burn(chilies) (v),#A0097,—,—,—,—,—,,,,,,,,,,,,,,,,,
buʔ,,FR,beˀ,,RSED.p56,busu,,BDBH.1960,busu,,Z1965.72,"bes(o,u)",,PKED.p20,bisu,,PJDW.p14,bse,,PGEG.p14,bi(ʔ),,CSED.p67,bi:(ʔ)/biu,,BMED.p22,bi:,,DHED.p35,bi:,,BAHL.p106,—,,—,*bv₃₁/*bv₃₁sv₃₂,be sated (v),#A0098,V319,259,*bhiiʔ,sated; full,Mon; North Bahnaric; Khmuic; Aslian; Nicobaric,,,,,,,,,,,,,,,,"It remains unknown why \#0098-2 is not a straightforward reflex. The correspondence set shows some similarity with VS-003 (\#0041-2 and \#0062-2), but the attested words in this group have a palatal coda. The other similar set is VS-026 (\#0052-2). If we take the /u/ of Gorum as an effect: maybe via _\*bhiiʔ_ > _\*bᵊhiiʔ_ > _\*bəhiiʔ_ > _\*bəiiʔ_ > _\*bv₍₃₁₎_. Only in the /sV/ part attested in in Gutob, Remo, Kharia, Juang, and Gtaʔ, probably not going back to proto-Munda, especially if MKCD 259 is the same etymon.",
—,,FR,uʔ/(uppur),,RSED.p308(307),ugbok',,BDBH.135,iʔboʔ,,DSGU#9411,(ului),,DSKH#32441,—,—,—,ugboʔ/ogboʔ,,PGEG.p6,up',,CSED.p670,ub',,BMED.p191,ub,,DHED.p369,u:b,,BAHL.p18,hu:p,,NKEV.p310,*uˀp,hair,#A0099,V143,—,—,—,—,,,,,,,,,,,,,,,,"The vowel set is consistent with _*u₁_ if Gtaʔ /ugboʔ/ is taken as the main reflex and compatible with _*u₄_ if based on Gtaʔ /ogboʔ/. Shorto connects 467 _*suk_; _*suuk_; _*suək_; _*sək_ hair, because of Kharia _sɔ(ʔ)-_ ",
inum,name,FR,əɲam,,RSED.p12,nimi,,BDBH.1588,imi,,AG.p645,(i)ɲimi,,PKED.p140,—,—,—,mni,,PGEG.p35,ɲum/ɲutum,,CSED.p451/452,num/nutum,,BMED.134,numu/nutum,,DHED.p249,—,,—,jimu,,NKEV.p313,*ɲv₃₃m,name,#A0100,V279,147,*[hy]muʔ,name,"Mon; Khmer; Katuic; Bru, South Bahnaric; Khmuic; Palaungic; Aslian",,,,,,,,,,,,,,,,,
ajuʔ,fish,FR,əjo:,,RSED.p5,aɽoŋ/CF:aʔ,,BDBH.56,aʔɖoŋ,,GGEG.p91,kaɖoŋ,,HLKS.V64,karoŋ,,PJDW.219,haʔɽo/CF:haʔ,,PGEG.p24,hako,,CSED.p212,ha:i,,BMED.p64,hai/haku,,DHED.p126,haku:,,DSKW@22340,ka:ku,,NKEV.p316,*k₂a(aˀ),fish,#A0101,V64,16,*kaʔ,fish,"Mon; Khmer; Katuic; Bahnaric; Khmuic; Palaungic; Khasi; Viet-Muong; AslianNicobaric",,,,,,,,,,,,,,,,"Sora /ə/ is unexpected, but ptobably due to it becoming the presyllable of a main syllabel /jo:/ in /əjo:/.",19
—,—,—,—,—,—,uĭɖak',,BDBH.130,oioi,,GGEG.p90,koyo,,PKEV.p108,koio,,PJDW.p225,hueɽiaʔ,,PGEG.p26,hoyoŋ,,CSED.p237,hoyo,,BMED.72,hoyo,,DHED.p146,hoe,,BAHL.p149,koyo,,NKEV.318,*k₂ojo,wind,#A0102,V202,–,–,–,—,,,,,,,,,,,,,,,,"Shorto connects 1782 *kyaal air, wind. Mon; Khmer; Katuic; North Bahnaric, but a loss of final _*l_ is unexpected. Shorto also mentions Vietnamese gió which looks at least superficially more promising.",
ki(N)sar,,FR,kinsar,,RSED.p141,saram/săram/sram/siram,,BDBH.2496/2591,suram,,AG08.p651,—,—,—,sɛram,,PJDW.p276,sra,,PGEG.p44,saram,,CSED.p563,sa:ra:m,,BMED.p169,saram,,DHED.p305,—,,—,(ruy),,NKEV.335,*sv₃₉r,sambar (deer),#A0103,—,—,—,—,—,,,,,,,,,,,,,,,,,
a̰l,mortar,FR,ono:l/OnAl,,RSED.p194/DSSO#50351,sabu,,BDBH.2490,saʔl,,JV,sol,,PKED.p185,(hesab),,PJDW.p204),saboʔ,,PGEG.p41,—,,—,se:l/sehel,,EMV13.p3900/3894,sẽ:l,,DHED.p311,—,,—,sel,,DSKO#24701,*sv₄₄(vˀ)l,husking mortar,#A0104,—,—,—,—,—,,,,,,,,,,,,,,,,"There is no known cognate of _*sv₍₄₄₎(vˀ)l_ in Auastroasiatic, but DEDR 2391 (*caval in Southworth 2011) could be related. Remo _saboʔ_ could consist of two parts, _sa_ deriving from _*sv₍₄₄₎(vˀ)l_ and _boʔ_ related to MKCD 370 _*[k]ɓok_ ‘to pound; mortar’.",
maˀd,bamboo,Z1982.p273,mad,,RSED.p168,—,,—,moʔ,,DSGU#15161,moɖa,,PKEP.p135,mɔɖɔ,,PJDW.p244,(leʔ-mweʔ),,PGEG.p31,mat',,CSED.p410,ma:d',,BMED.p110,maɖ,,DHED.p221,ma:ɖ,,BAHL.p118,ma:ʈ,,NKEV.p325,*maˀt,bamboo joint,#A0105,K415(ˀt)/508(m),—,—,—,—,,,,,,,,,,,,,,,,Contrasts with _*məˀt_ ‘eye’ (#0012),
or,to plough,FR,or,,RSED.p195,—,,—,(an),,(Z1965.24),—,—,—,—,—,—,ur-guʔ,,PGEG.p7,or,,CSED.p461,or,,BMED.p138,or,,DHED.p253,or,,BAHL.p23,o(:)ɽ,,NKEV.p329,*or,pull/drag (vt),#A0106,—,—,—,—,—,,,,,,,,,,,,,,,,,
—,—,—,ɟalo:/ɟəlo:(ɟ),,RSED.p120/115,sulo(ʔ),,DSRE#37391,sulod,,Z1965.383,joloɖ,,PKED.p88,—,—,—,cluaʔ,,PGEG.p16,(jilet'/jalat'),,CSED.p273/252,jila:d',,BMED.p83,jilad,,DHED.p165,jeleɖ,,BAHL.p62,(silir),,NKEV.338,*ɟv₄₀ləˀt,slip (vi)/be slippery,#A0107,V259,1081,*lut; *luut; *luət; *lət; *lat; (*lut-s &c. >) *luc; *luuc; *luəc; *l[ə]c,"to slip (off, down)",Khmer; North Bahnaric / Khmer; Bahnaric; Palaungic; Viet-Muong / Mon; North Bahnaric; Palaungic; Viet-Muong / South Bahnaric / Khmer / South Bahnaric; Viet-Muong; ?Khasi / Khmer; North Bahnaric; Palaungic; Khasi; Nicobaric / North Bahnaric; Khmuic; ?Khasi / Katuic; South Bahnaric; North & Central Aslian,,,,,,,,,,,,,,,,"Alternatively, but less well fitting: 1076 *lit (?); *liit; *liət slippery, to smear on",
—,—,—,gum,,RSED.p105,—,—,—,arel-gum,,DSGU#26300,gim,,PKED.p61,gima,,PJDW.p196,—,,—,?,,?,ga:ma:,,BMED.p58,gama,,DHED.p105,—,,—,ghamaʔ,,DSKO#9171,*gv₄₁ma,rain (n/vi),#A0108,V282,141,*gmaʔ,rain,Katuic; Khmuic; South Aslian,,,,,,,,,,,,,,,,,
soɖo'b,,Zide,sərub,to suck; to sip; to drink with noise,RSED.p242,—,—,—,surub,to sip; to slurp; to suck up noisily,DSGU#23421,suruˀb,,PKED.p190,surupi,,DSJU#30520,srog,,PGEG.p44,sirup',,CSED.p582,—,,—,siri:b,,DHED.p320,—,,—,—,,—,*sv₄₂rv₄₂ˀp,sip (v),#A0109,V354,1283,*srup; *sruup,to suck; to drink,Palaungic; Khmer Palaungic,,,,,,,,,,,,,,,,,
toˀd/tom,mouth,FR,tˀod/tam,,RSED.p291/276,tumoʔ,,BDBH.1431,tumog,,AG08.662,tomoˀɖ,,PKED.p201,tɔmɔd,,PJDW.p286,tmwaʔ,,PGEG.46,—,,—,—,,—,—,,—,—,,—,—,,—,*tv₄₃məˀt,mouth,#A0110,V393,1001,*t₁ət,mouth,Khmer; Palaungic; Aslian,,,,,,,,,,,,,,,,remarkable: Shorto: 1001 (_*t₁mət_>) Khmer _m'ɔət_ // Alternative etymon: 2020 *t₁n₁ɔh mouth. Katuic; Khmuic,
taˀɟ,to give,FR,tij,to give,RSED.p287,teʔsaʔgur,the one-day feast at the time of marriage when only wine is served,BDBH.1473,tej,to serve food,Z1965.401,taˀj,to distribute; to divide,PKED.p195,taɟ,teilen; verteilen,PJDW.p283,toeʔ,to serve food; to distribute food,PGEG.p45,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*tVˀɟ,distribute (v),#A0111,V293,—,—,—,—,,,,,,,,,,,,,,,,,
aˀɟer,unripe mango,FR,—,—,—,ayer/ager,unripe mango,BDBH.38,aʔer,unripe mango,DSGU#291,kayar,mango,PKED.p99,kae,mango,DSJU#15661,hiaʔir,green mango,PGEG.p25,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*k₂aˀcVr/*k₂aˀkVr,unripe mango,#A0112,—,—,—,—,—,,,,,,,,,,,,,,,,,
lioŋ,irrigated field,FR,—,—,—,ljo,field,MVol.p732,lioŋ,irrigated filed,AG08.p666,—,—,—,—,—,—,ljo,land in the plains; paddy field; wet low terrassed field,PGEG.p32,—,—,—,loyoŋ,lowland,BMED.p109,—,—,—,loyoŋ,field in which water remains standing for a long time,BAHL.129,—,—,—,*lVjoŋ,irrigated field,#A0113,V318c,—,—,—,—,—,—,—,,,,,,,,,,,,,"The original semantics are not clear, but while the meaning “irrigated field” is certain where it is attested, there is a history of misinterpreting the word as “lowland”.",
bura,hill; forest,FR,bəru/baru/bur,forest; hill; CF,RSED.p46/54,biri,forest; hill,BDBH.1886,biroŋ/buroŋ,hill; mountain,DSGU#2731,biru,hill; jungle; mountain,PKED.p22/DSKH#3721,—,—,—,bri,mountain,PGEG.p28,buru,mountain,CSED.p82,buru,hill,BMED.p26,buru,mountain; hill,DHED.p50,bu:ru:,hill,BAHL.p109,—,—,—,*buru,hill,#A0114,V278,182,*bruuʔ,hill,Katuic,,,,743 ,bruu,mountain,,,,,,,,,,"Outside of North Munda 0114 and 0115 have been conflated, but Gtaʔ and Gutob show remnants of the distinction.",
bura,hill; forest,FR,bəru/baru/bur,forest; hill; CF,RSED.p46/54,biri,forest; hill,BDBH.1886,biroŋ/buroŋ,hill; mountain,DSGU#2731,biru,hill; jungle; mountain,PKED.p22/DSKH#3721,—,—,—,bir,forest,PGEG.p9,bir,jungle forest,CSED.p70,bir,big jungle; forest,BMED.p23,bir,jungle,DHED.p37,bhi:r,forest; grass,BAHL.p115,—,—,—,*biri,forest,#A0115,V278,181,*briiʔ,forest,Khmer; Bahnaric; Palaungic; Central & South Aslian,696,briːʔ,forest,966,brəj,forest ,,,,,,,,,,"Outside of North Munda 0114 and 0115 have been conflated, but Gtaʔ and Gutob show remnants of the distinction.",
raʔ,elephant,FR,raʔ,elephant,RSED.p225,—,—,—,roʔ,elephant,Z1963.307,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*rəəˀ,elephant,#A0116,,1930,*r[ ]uəs,elephant,Bahnaric,,,,,,,,,,,,,,,,,
—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,rimil,,CDES.p33,rimil,,BMED.p160,rimil,,HOGV.p152,—,—,—,—,—,—,*rimil,cloud,#A0117,,—,—,—,—,,,,,,,,,,,,,,,,,
turgi,six,FR,turru,six,RSED.p300,tiʔri,six,BDBH.1396,tir,six,HLKS.V148,tib(h)ru,six,HLKS.V148,—,—,—,tur,six,PGEG.p46,turui,six,CSED.661,tur(u)ia:,six,BMED.p190,turui(ya),six,DHED.p367,—,—,—,turuy(a),six,NKEV.p341,*tur,six,#A0118,V148,1734a,*t₁uəl,six,Palaungic; Nicobaric,,,,,,,,,,,,,,,,,
gulgi,seven,FR,gulɟi,seven,RSED.p105,giʔ,seven,BDBH.861,gil,seven,DSGU#26710,—,—,—,—,—,—,gu,seven,PGEG.p20,(eae),seven,CSED.p159,(e(a:)),seven ,BMED.p53,(ai(ya)),seven,DHED.p5,—,—,—,(ey(ya)),seven,NKEV.p304,*gVl,seven,#A0119,V141,—,—,—,—,,,,,,,,,,,,,,,,,
tamgi,eight,FR,tamɟi/tanɟi,eight,RSED.279,tomam,eight,BDBH.1498,tamgi,eight,DSGU#26191,tham,eight,PKED.p203,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*tam,eight,#A0120,V8,1431,*t₁haam,eight,Bahnaric,,,,,,,,,,,,,,,,,
timgi,nine,FR,timɟi,nine,RSED.289,—,—,—,timgi,nine,DSGU#27480,—,—,—,—,—,—,so(n)tiŋ,nine,DSGT#15141,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*tim,nine,#A0121,—,1351,*[c]t₁iim,nine,Palaungic,,,,,,,,,,,,,,,,,
galgi,ten,FR,galɟi,ten,RSED.p96,go:,ten,HLKS.V249,gol,ten,DSGU#26750,gel,ten,DSKH#10041,—,—,—,go,ten,DSGT#5591,gel,ten,CSED.p185,gel(ea),ten,BMED.p59,gel,ten,DHED.p111,—,—,—,gel(ya),ten,NKEV.p305,*gVl,ten,#A0122,V249,—,—,—,—,,,,,,,,,,,,,,,,MKCD Proto-Palaungic: B112 *kul ten,
baba,cooked rice,FR,ba:ba:,cooked rive,RSED.p47,—,—,—,—,—,—,baʔ,paddy,PKED.p10,bua,rice plant; paddy,PJDW.p172,—,—,—,—,—,—,ba:ba:,paddy,BMED.p14,baba,paddy plant,DHED.p18,(a:ba:ga),(grains),BAHL.p9,baba,grain; paddy,NKEV.p291,*baaˀ,paddy,#A0123,V4,120,ɓaʔ,paddy,Bahnaric; Palaungic; Khasi; Aslian,,,,,,,,,,,,,,,,,
aŋon,son (aŋ = male),FR,oˀo:n,child,RSED.p195,ɔ̃ʔɔ̃,son; daughter,BDBH.487,oʔn,child,AG08.p636,konon,small,PKED.p104,kɔn,n,child; son; boy,ūhuŋo,child; infant,PGEG.p6,hon,son; child,CSED.p234,hon,son; child,BMED.p71,hon,child,DHED.p142,hon,to give birth to a child; diminutive suffix ,BAHL.p149,ko(ː)n,child; son,NKEV.p318,*Kʰon,child,#A0124,V205,1127,*kuun (& *kun?); *kuən,child,Khmer; Khasi; Nicobaric / Mon; Katuic; Bahnaric; Khmuic; Palaungic; Viet-Muong' Central & South Aslian,,,,,,,,,,,,,,,,,
kituŋ,god,FR,kittuŋ,god,RSED.p141,kitoŋ,god,Mvol.p696,kituŋ,god,DSGU#26950,kiʔtuŋ,heaven,PKED.p148,—,—,—,kitoŋ,god,PGEG.p28,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*kVtVŋ,god,#A0125,K193e;K388,—,—,—,—,,,,,,,,,,,,,,,,,
aluŋ,in; inside,FR,əluŋ,within; the interior,RSED.p8,aluŋ,down; below,BDBH.68,aluŋ,inside,AG08.p648,—,—,—,aluŋ,inside,PJDW.p157,alo,under; below,PGEG.p3,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,*VlVŋ,inside,#A0126,(396a),593,*[ ]n₂uŋ,in,Khmer; Katuic; South Bahnaric; Palaungic,,,,,,,,,,,,,,,,,
mar,dirt,A.Zide.dic,—,—,—,—,—,—,imar,dirty; to become dirty,Z1965.162,—,—,—,(muili),Schmutz,PJDW.p246,hmar,to become dirty,PGEG.p26,—,—,—,humu,filth; dirt; dirty,BMED.p73,humu:,dirt; dirty; of husked rice retaining part of husk,DHED.p147,—,—,—,kumu,dirt; dirty,NKEV.p319,*KʰVmV,dirt,#A0127,V114,140,*kmuuʔ; kmuəʔ; kməʔ; ,dirt,Khmer; Katuic; Palaungic; North Bahnaric; North & Central Aslian,,,,,,,,,,,,,,,,,
